	SRR1914886	SRR1914888	SRR1914890	SRR1914885	SRR1914887	SRR1914889
ENSMUSG00000001138.13	6148	4991	6448	6243	5343	5553
ENSMUSG00000001143.13	6669	5858	7755	6331	5920	5826
ENSMUSG00000001150.7	8495	6774	8999	9266	8077	8264
ENSMUSG00000001151.10	6138	4640	6402	6754	6150	6236
ENSMUSG00000001155.13	43	47	37	28	27	39
ENSMUSG00000001156.9	3500	2529	3550	3626	3180	3029
ENSMUSG00000001157.13	4883	3699	4852	4659	4207	4081
ENSMUSG00000001158.13	3612	2292	3110	2832	3224	2714
ENSMUSG00000001166.17	216	132	194	173	174	178
ENSMUSG00000001168.16	1	2	1	1	2	0
ENSMUSG00000001173.15	18801	13001	17361	16292	15764	14432
ENSMUSG00000001175.14	265844	181516	250216	245339	257645	220690
ENSMUSG00000001211.15	39215	28134	38654	39795	38167	37426
ENSMUSG00000001225.12	157	139	173	135	121	119
ENSMUSG00000001227.12	18519	14516	18688	16768	16654	15389
ENSMUSG00000001228.14	195	151	217	239	147	185
ENSMUSG00000001229.9	9238	7682	10624	9632	7956	8388
ENSMUSG00000001240.13	1168	972	1326	1075	926	929
ENSMUSG00000001247.16	555	628	793	800	576	736
ENSMUSG00000001248.15	20464	16369	21128	20241	17652	17557
ENSMUSG00000001249.14	158	139	183	217	154	174
ENSMUSG00000001260.10	12089	7599	9681	7857	9227	7476
ENSMUSG00000001270.9	117923	91773	124647	132972	123030	124469
ENSMUSG00000001280.13	5927	4283	5969	5972	5669	5422
ENSMUSG00000001281.10	111	55	77	75	85	84
ENSMUSG00000001285.12	3601	2574	3401	3386	3337	3105
ENSMUSG00000001288.15	1287	908	1173	1260	1114	1136
ENSMUSG00000001289.12	13611	8342	10915	10707	11936	9813
ENSMUSG00000001300.16	3608	2791	3219	3851	3404	3284
ENSMUSG00000001305.5	1533	1139	1537	1412	1323	1304
ENSMUSG00000001313.12	27844	17746	23770	19963	22057	18891
ENSMUSG00000001323.17	8107	5671	8010	6853	6989	6504
ENSMUSG00000001333.9	233	165	179	183	148	155
ENSMUSG00000001334.9	12823	8934	13113	11989	12342	10809
ENSMUSG00000001348.15	95	69	120	102	86	72
ENSMUSG00000001349.5	95	64	91	70	45	53
ENSMUSG00000001366.14	17932	11229	15470	16595	16864	15468
ENSMUSG00000001376.17	8426	5259	7424	7531	7623	6814
ENSMUSG00000001380.7	15760	10706	14235	13059	13254	11828
ENSMUSG00000001383.9	18101	11816	15920	15022	16487	13680
